contract_id,project_id,client_id,start_date,end_date,annual_fee_aed,monthly_operating_cost_aed,renewal_status
AMC-0001,PRJ-2023-003,CL-1021,2024-10-20,2025-10-20,58250,2610.0,Active
AMC-0002,PRJ-2023-004,CL-1034,2024-07-09,2025-07-09,61750,3290.0,Active
AMC-0003,PRJ-2023-005,CL-1033,2024-02-15,2025-02-14,10000,490.0,Renewed
AMC-0004,PRJ-2023-007,CL-1056,2024-05-31,2025-05-31,44000,1860.0,Renewed
AMC-0005,PRJ-2023-009,CL-1095,2024-08-09,2025-08-09,184250,7690.0,Active
AMC-0006,PRJ-2023-011,CL-1004,2024-07-15,2025-07-15,96250,5070.0,Active
AMC-0007,PRJ-2023-012,CL-1004,2023-06-27,2024-06-26,37750,1720.0,Active
AMC-0008,PRJ-2023-014,CL-1047,2023-10-02,2024-10-01,64000,3090.0,Active
AMC-0009,PRJ-2023-017,CL-1060,2023-06-10,2024-06-09,62500,2740.0,Expired
AMC-0010,PRJ-2023-019,CL-1059,2024-08-20,2025-08-20,76250,4070.0,Expired
AMC-0011,PRJ-2023-022,CL-1115,2024-01-19,2025-01-18,26750,1150.0,Expired
AMC-0012,PRJ-2023-023,CL-1081,2024-03-05,2025-03-05,15000,730.0,Active
AMC-0013,PRJ-2023-027,CL-1004,2024-07-07,2025-07-07,11750,510.0,Active
AMC-0014,PRJ-2023-029,CL-1034,2024-02-03,2025-02-02,48000,2470.0,Active
AMC-0015,PRJ-2023-031,CL-1097,2023-09-10,2024-09-09,44000,2330.0,Active
AMC-0016,PRJ-2023-033,CL-1119,2023-08-27,2024-08-26,82750,3640.0,Renewed
AMC-0017,PRJ-2023-035,CL-1009,2024-03-07,2025-03-07,18000,800.0,Active
AMC-0018,PRJ-2023-038,CL-1004,2024-02-22,2025-02-21,38250,1600.0,Active
AMC-0019,PRJ-2023-040,CL-1083,2024-01-23,2025-01-22,14500,660.0,Renewed
AMC-0020,PRJ-2023-044,CL-1036,2023-10-16,2024-10-15,38500,2050.0,Renewed
AMC-0021,PRJ-2023-045,CL-1061,2023-07-30,2024-07-29,37500,1630.0,Renewed
AMC-0022,PRJ-2023-047,CL-1100,2024-07-15,2025-07-15,107750,5230.0,Active
AMC-0023,PRJ-2023-050,CL-1101,2023-09-15,2024-09-14,33250,1700.0,Expired
AMC-0024,PRJ-2023-051,CL-1077,2023-12-25,2024-12-24,38500,1940.0,Renewed
AMC-0025,PRJ-2023-052,CL-1011,2023-12-03,2024-12-02,13250,640.0,Active
AMC-0026,PRJ-2023-054,CL-1012,2024-03-05,2025-03-05,11750,570.0,Renewed
AMC-0027,PRJ-2023-055,CL-1085,2023-08-05,2024-08-04,45750,1960.0,Active
AMC-0028,PRJ-2023-059,CL-1120,2024-01-07,2025-01-06,14250,680.0,Active
AMC-0029,PRJ-2023-064,CL-1112,2024-05-25,2025-05-25,29500,1360.0,Renewed
AMC-0030,PRJ-2023-067,CL-1098,2024-05-10,2025-05-10,60500,2540.0,Renewed
AMC-0031,PRJ-2023-071,CL-1050,2024-05-12,2025-05-12,43500,2350.0,Renewed
AMC-0032,PRJ-2023-080,CL-1031,2023-10-11,2024-10-10,44000,2130.0,Active
AMC-0033,PRJ-2023-082,CL-1013,2024-02-15,2025-02-14,47500,1990.0,Renewed
AMC-0034,PRJ-2023-087,CL-1058,2024-08-29,2025-08-29,50750,2290.0,Expired
AMC-0035,PRJ-2023-089,CL-1009,2024-08-07,2025-08-07,90250,4230.0,Active
AMC-0036,PRJ-2023-091,CL-1044,2024-01-09,2025-01-08,11750,500.0,Renewed
AMC-0037,PRJ-2023-094,CL-1046,2023-07-21,2024-07-20,65250,3050.0,Renewed
AMC-0038,PRJ-2023-095,CL-1015,2024-01-19,2025-01-18,60000,2540.0,Active
AMC-0039,PRJ-2023-099,CL-1078,2024-08-10,2025-08-10,13500,680.0,Renewed
AMC-0040,PRJ-2023-101,CL-1042,2024-08-29,2025-08-29,19000,840.0,Renewed
AMC-0041,PRJ-2023-102,CL-1010,2024-11-18,2025-11-18,24250,1280.0,Expired
AMC-0042,PRJ-2023-103,CL-1038,2024-04-19,2025-04-19,10250,490.0,Expired
AMC-0043,PRJ-2023-107,CL-1088,2024-02-24,2025-02-23,16250,710.0,Renewed
AMC-0044,PRJ-2023-111,CL-1047,2024-07-03,2025-07-03,76250,3950.0,Expired
AMC-0045,PRJ-2023-112,CL-1037,2024-04-07,2025-04-07,31500,1530.0,Renewed
AMC-0046,PRJ-2023-113,CL-1040,2024-02-10,2025-02-09,22750,1130.0,Expired
AMC-0047,PRJ-2023-115,CL-1029,2024-07-04,2025-07-04,50250,2210.0,Renewed
AMC-0048,PRJ-2023-117,CL-1057,2024-10-07,2025-10-07,172750,7600.0,Active
AMC-0049,PRJ-2023-119,CL-1112,2024-10-29,2025-10-29,50250,2640.0,Renewed
