project_id,client_id,lead_source_id,project_type,area_sqft,contract_value_aed,estimated_budget_aed,start_date,planned_end_date,actual_end_date,status,planned_duration_days,actual_duration_days,schedule_delay_days,schedule_delay_days_filled,is_delayed,cost_entry_id,material_cost_aed,labour_cost_aed,subcontractor_cost_aed,equipment_rental_aed,permitting_fees_aed,actual_total_cost_aed,gross_profit_aed,gross_margin_pct,cost_variance_aed,cost_overrun_pct,subcontractor_pct_of_cost
PRJ-2023-001,CL-1086,LS-03,Commercial Plaza,9910,538000,382400.0,2024-04-13,2024-10-06,2024-10-01,Completed,176,171.0,-5.0,-5.0,0,CST-0001,139900.0,82400.0,77300.0,36600.0,16700.0,352900.0,185100.0,34.41,-29500.0,-7.71,21.9
PRJ-2023-002,CL-1059,LS-01,Full Villa Landscape,3100,276500,189300.0,2023-03-12,2023-06-09,2023-06-06,Completed,89,86.0,-3.0,-3.0,0,CST-0002,81400.0,44600.0,35700.0,19100.0,20100.0,200900.0,75600.0,27.34,11600.0,6.13,17.77
PRJ-2023-003,CL-1021,LS-04,Pool & Hardscape,3225,546000,369700.0,2024-07-21,2024-09-20,2024-10-06,Completed,61,77.0,16.0,16.0,1,CST-0003,145900.0,88000.0,61900.0,34600.0,17800.0,348200.0,197800.0,36.23,-21500.0,-5.82,17.78
PRJ-2023-004,CL-1034,LS-01,Commercial Plaza,7753,550500,390400.0,2023-12-18,2024-05-30,2024-06-25,Completed,164,190.0,26.0,26.0,1,CST-0004,175700.0,107400.0,76800.0,31900.0,18400.0,410200.0,140300.0,25.49,19800.0,5.07,18.72
PRJ-2023-005,CL-1033,LS-01,Irrigation & Softscape,1878,86000,56900.0,2023-12-08,2024-02-01,2024-02-01,Completed,55,55.0,0.0,0.0,0,CST-0005,28500.0,16700.0,16800.0,7400.0,4400.0,73800.0,12200.0,14.19,16900.0,29.7,22.76
PRJ-2023-006,CL-1021,LS-04,Pool & Hardscape,3259,552000,375800.0,2023-06-02,2023-08-25,2023-09-27,Completed,84,117.0,33.0,33.0,1,CST-0006,177300.0,119800.0,81900.0,42000.0,9200.0,430200.0,121800.0,22.07,54400.0,14.48,19.04
PRJ-2023-007,CL-1056,LS-02,Commercial Plaza,6685,373000,245100.0,2024-01-02,2024-04-22,2024-05-17,Completed,111,136.0,25.0,25.0,1,CST-0007,119600.0,70600.0,60000.0,20000.0,6900.0,277100.0,95900.0,25.71,32000.0,13.06,21.65
PRJ-2023-008,CL-1046,LS-04,Full Villa Landscape,7584,748500,490400.0,2023-07-01,2023-12-13,2023-12-08,Completed,165,160.0,-5.0,-5.0,0,CST-0008,179600.0,109200.0,78500.0,39200.0,60300.0,466800.0,281700.0,37.64,-23600.0,-4.81,16.82
PRJ-2023-009,CL-1095,LS-03,Commercial Plaza,18818,1460000,969200.0,2023-10-01,2024-07-10,2024-07-26,Completed,283,299.0,16.0,16.0,1,CST-0009,374300.0,216400.0,168800.0,108700.0,62400.0,930600.0,529400.0,36.26,-38600.0,-3.98,18.14
PRJ-2023-010,CL-1112,LS-01,Irrigation & Softscape,3427,122000,80900.0,2023-11-09,2024-02-01,2024-01-28,Completed,84,80.0,-4.0,-4.0,0,CST-0010,31100.0,21000.0,13800.0,7100.0,6800.0,79800.0,42200.0,34.59,-1100.0,-1.36,17.29
