client_id,client_name,client_type,primary_location
CL-1001,Private Client 001,Luxury Residential,Palm Jumeirah
CL-1002,Resort & Spa Group 002,Hospitality,Dubai Hills Estate
CL-1003,Al-Ghurair Holdings 003,Commercial Developer,Business Bay
CL-1004,Private Client 004,Luxury Residential,Business Bay
CL-1005,Private Client 005,Luxury Residential,Downtown Dubai
CL-1006,Al-Futtaim Holdings 006,Corporate Office,Palm Jumeirah
CL-1007,Private Client 007,Luxury Residential,Dubai Hills Estate
CL-1008,Al-Futtaim Holdings 008,Commercial Developer,Downtown Dubai
CL-1009,Al-Diyar Holdings 009,Commercial Developer,Dubai Hills Estate
CL-1010,Al-Habtoor Holdings 010,Corporate Office,Jumeirah Golf Estates
CL-1011,Private Client 011,Luxury Residential,Jumeirah Golf Estates
CL-1012,Al-Diyar Holdings 012,Commercial Developer,Emirates Hills
CL-1013,Resort & Spa Group 013,Hospitality,Dubai Hills Estate
CL-1014,Al-Habtoor Holdings 014,Commercial Developer,Palm Jumeirah
CL-1015,Private Client 015,Luxury Residential,Arabian Ranches
CL-1016,Private Client 016,Luxury Residential,Emirates Hills
CL-1017,Resort & Spa Group 017,Hospitality,Downtown Dubai
CL-1018,Resort & Spa Group 018,Hospitality,Jumeirah Golf Estates
CL-1019,Private Client 019,Luxury Residential,Business Bay
CL-1020,Al-Futtaim Holdings 020,Corporate Office,Arabian Ranches
CL-1021,Private Client 021,Luxury Residential,Downtown Dubai
CL-1022,Resort & Spa Group 022,Hospitality,Jumeirah Golf Estates
CL-1023,Resort & Spa Group 023,Hospitality,Downtown Dubai
CL-1024,Al-Futtaim Holdings 024,Commercial Developer,Palm Jumeirah
CL-1025,Al-Habtoor Holdings 025,Commercial Developer,Palm Jumeirah
CL-1026,Al-Futtaim Holdings 026,Commercial Developer,Arabian Ranches
CL-1027,Resort & Spa Group 027,Hospitality,Arabian Ranches
CL-1028,Resort & Spa Group 028,Hospitality,Dubai Hills Estate
CL-1029,Resort & Spa Group 029,Hospitality,Emirates Hills
CL-1030,Al-Habtoor Holdings 030,Commercial Developer,Business Bay
CL-1031,Private Client 031,Luxury Residential,Downtown Dubai
CL-1032,Al-Ghurair Holdings 032,Commercial Developer,Dubai Hills Estate
CL-1033,Al-Diyar Holdings 033,Corporate Office,Emirates Hills
CL-1034,Al-Habtoor Holdings 034,Commercial Developer,Jumeirah Golf Estates
CL-1035,Private Client 035,Luxury Residential,Dubai Hills Estate
CL-1036,Private Client 036,Luxury Residential,Jumeirah Golf Estates
CL-1037,Resort & Spa Group 037,Hospitality,Arabian Ranches
CL-1038,Resort & Spa Group 038,Hospitality,Palm Jumeirah
CL-1039,Al-Habtoor Holdings 039,Commercial Developer,Dubai Hills Estate
CL-1040,Al-Diyar Holdings 040,Corporate Office,Business Bay
CL-1041,Al-Ghurair Holdings 041,Corporate Office,Emirates Hills
CL-1042,Al-Ghurair Holdings 042,Commercial Developer,Business Bay
CL-1043,Resort & Spa Group 043,Hospitality,Business Bay
CL-1044,Al-Diyar Holdings 044,Corporate Office,Emirates Hills
CL-1045,Al-Ghurair Holdings 045,Commercial Developer,Downtown Dubai
CL-1046,Al-Futtaim Holdings 046,Corporate Office,Jumeirah Golf Estates
CL-1047,Private Client 047,Luxury Residential,Jumeirah Golf Estates
CL-1048,Private Client 048,Luxury Residential,Dubai Hills Estate
CL-1049,Al-Diyar Holdings 049,Commercial Developer,Downtown Dubai
CL-1050,Private Client 050,Luxury Residential,Arabian Ranches
CL-1051,Al-Diyar Holdings 051,Corporate Office,Downtown Dubai
